%hm0 hm0a hm0b hmax mdir mdira mdirb tp
0.78 0.39 0.70 1.17 161.72 194.77 151.17 10.94
0.82 0.31 0.78 1.29 150.47 174.38 146.95 9.18
0.82 0.35 0.74 1.41 156.09 201.80 152.58 8.40
0.78 0.35 0.70 1.13 159.61 195.47 151.17 8.59
0.86 0.35 0.78 1.09 153.28 187.73 148.36 8.20
0.90 0.47 0.78 1.56 154.69 189.14 146.95 11.82
0.86 0.39 0.78 1.52 156.80 194.06 150.47 8.89
0.90 0.35 0.86 1.68 145.55 187.03 140.62 8.01
0.86 0.39 0.78 1.21 151.88 195.47 144.14 8.50
0.86 0.39 0.78 1.13 151.88 187.73 142.73 9.08
0.82 0.35 0.74 1.17 154.69 190.55 149.06 9.47
0.82 0.39 0.70 1.29 151.88 191.95 144.84 10.55
0.82 0.31 0.78 1.02 148.36 195.47 139.92 9.28
0.86 0.39 0.78 1.21 148.36 180.70 142.03 8.50
0.90 0.39 0.82 1.21 153.98 190.55 146.25 8.79
0.90 0.43 0.82 1.45 152.58 180.00 144.14 8.11
0.90 0.47 0.78 1.25 153.98 170.16 150.47 8.79
0.82 0.35 0.74 1.21 172.27 201.80 163.83 8.89
0.90 0.51 0.74 1.80 167.34 180.70 161.72 10.45
0.78 0.43 0.66 0.94 175.08 192.66 164.53 9.86
0.70 0.43 0.55 0.98 187.03 193.36 175.78 12.01
0.94 0.66 0.70 1.41 172.97 185.62 156.80 10.45
0.98 0.62 0.74 1.72 170.16 196.17 148.36 12.01
0.94 0.55 0.74 1.48 169.45 204.61 151.88 12.01
1.02 0.70 0.74 1.56 170.16 193.36 149.77 11.91
0.86 0.55 0.66 1.21 165.23 201.80 146.25 12.30
1.09 0.66 0.86 1.60 176.48 189.14 165.23 10.35
1.21 0.66 1.02 2.03 200.39 196.88 194.77 11.23
1.33 0.70 1.13 1.72 217.97 206.02 227.81 11.04
1.41 0.70 1.21 1.84 247.50 225.00 258.75 11.23
1.33 0.70 1.13 1.56 242.58 209.53 253.83 12.21
1.25 0.62 1.09 1.64 243.98 201.09 257.34 11.82
1.29 0.70 1.05 1.64 233.44 203.20 245.39 12.99
1.37 0.70 1.17 1.99 239.06 197.58 253.12 12.99
1.37 0.78 1.09 1.64 234.84 206.72 250.31 12.01
1.25 0.62 1.09 1.95 234.84 191.25 247.50 12.99
1.41 0.74 1.17 1.95 222.89 201.09 229.22 11.04
1.45 0.59 1.33 2.07 226.41 193.36 228.52 5.66
1.68 0.62 1.56 2.85 222.19 191.25 223.59 5.66
1.91 0.55 1.80 2.42 225.70 203.91 226.41 6.05
1.99 0.59 1.88 2.81 222.89 203.91 224.30 6.93
1.88 0.62 1.80 3.36 227.11 201.09 227.81 6.64
2.15 0.66 2.03 3.01 224.30 194.06 225.70 6.74
2.15 0.59 2.07 2.97 229.92 213.75 231.33 7.32
1.99 0.66 1.88 2.50 227.11 217.27 227.11 7.23
2.11 0.74 1.99 2.93 232.03 223.59 233.44 7.91
2.19 0.62 2.07 3.01 232.03 243.98 233.44 7.71
2.50 0.62 2.42 3.16 237.66 242.58 238.36 7.91
2.34 0.70 2.27 3.28 233.44 232.03 234.14 9.08
2.42 0.86 2.27 4.80 235.55 238.36 237.66 8.50
2.38 0.59 2.34 3.52 229.92 232.03 230.62 9.18
2.27 0.62 2.19 3.20 231.33 247.50 231.33 8.30
2.66 0.55 2.62 4.10 240.47 236.95 241.17 9.18
2.38 0.86 2.23 3.20 230.62 220.08 232.73 9.18
2.62 0.70 2.50 3.40 226.41 214.45 227.11 8.69
2.81 0.70 2.73 3.67 222.89 219.38 222.89 8.50
2.85 0.70 2.73 3.67 227.11 205.31 228.52 8.89
2.66 0.74 2.54 4.10 219.38 206.02 220.08 9.18
2.77 0.78 2.66 3.91 219.38 208.83 220.08 8.89
2.81 0.66 2.73 3.67 213.75 196.88 214.45 8.50
3.09 0.86 2.97 4.77 218.67 215.16 218.67 8.30
2.73 0.74 2.62 3.67 215.86 203.20 216.56 8.98
2.62 0.66 2.54 4.49 213.75 215.16 213.05 8.50
